user,priority
kunal_koted,2.0
mr._deepak_dips_jain_777,2.0
puran_dhakad,2.0
goldy_sarva,2.0
bharat.menaria.391,2.0
_manishsalvi_,2.0
darshan80031,2.0
purohit5820,2.0
rk_since2000,2.0
ghan_shyam_patel_07,2.0
dashugilund,2.0
rjrahulmehta,2.0
vinita_menaria21,2.0
parasram.dhaker.77,2.0
shankar_dangi_mlsu,2.0
gaytri_jat00,2.0
vinod.pushkarna,2.0
anildangi153,2.0
rocky_soniii,2.0
d_c_l_lohar,2.0
bharat_singh__solanki,2.0
rohit_purohit____,2.0
hritikjanwa,2.0
gourav_sahu_uccms,2.0
priyaankk_sharma,2.0
kuldeep_choudhary_mlsu_,2.0
bhati_baisa08,2.0
amit_jain_62,2.0
mr.j_a_y_e_s_h_07,2.0
naren_jaa8,2.0
cool_boy_fateh_parmar,2.0
priyansh_020,2.0
kuldeep_singh_th.rampuriya,2.0
rohit_sapra15,2.0
bharatsen300,2.0
priyanshu8339,2.0
jnv_lokesh_dhakar,2.0
_pappu_dangi,2.0
mr.bishnoi__29,2.0
narendra_vaishnav4855,2.0
vikki_55viksa,2.0
pshubham116,2.0
narendrasinghhgurjar,2.0
mr.ashish__9718,2.0
patel___julie,2.0
patel__7773___odwadiya,2.0
bharat_vaishnav_mlsu,2.0
_nehajhala15,2.0
vikram_pratap_singh_rathore,2.0
_naveen_dashottar_21,2.0
bhansali.suraj,2.0
vinodjaiswal2010,2.0
kushagra_kelawat007,2.0
vishal_nagda_5,2.0
mlsusanjay,2.0
nehaa_254,2.0
mlsu_gorav,2.0
r_krishnapalsingh_mlsu,2.0
lalit_raloti,2.0
vishal72solanki,2.0
nehal_hn_571,2.0
lalita_nagda_,2.0
ankit_menaria_7,2.0
reedam04,2.0
pankaj_purohit__mlsu,2.0
deepraj_singh_khakhri,2.0
vishal_nagda2,2.0
bannaaa_badmash,2.0
riddhi8882,2.0
vishal_sharma4,2.0
deepsapatel8726,2.0
nihalkalrak31,2.0
vishaljat48,2.0
_bhanwar_ucos,2.0
deshraj.singh.dhalawad,2.0
vishalsagarvanshi,2.0
shinu_chandana7773,2.0
anmol._.dodeja,2.0
innocent_akshu_,2.0
